name_of_img,genre,species,sexe,family,1,2,3,4,8,12,14,9_11,5_13_15,6_7
Eumyias_albicaudatus_6_F_Back_Vis_G130201.png,Eumyias,eumyias albicaudatus,F,muscicapidae,79.6,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0
Dicrurus_leucophaeus_2_M_Back_Vis_G146941.png,Dicrurus,dicrurus leucophaeus,M,dicruridae,63.9,6.3,3.7,0.0,0.0,0.0,26.1,0.0,0.0,0.0
Sylvia_boehmi_4_F_Back_Vis_G122870.png,Sylvia,sylvia boehmi,F,sylviidae,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microeca_flavigaster_1_M_Back_Vis_G172996.png,Microeca,microeca flavigaster,M,petroicidae,66.7,25.2,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0
Myadestes_melanops_1_M_Back_Vis_G182192.png,Myadestes,myadestes melanops,M,turdidae,75.7,0.0,8.9,0.0,0.0,0.0,15.4,0.0,0.0,0.0
Rhopophilus_pekinensis_2_M_Back_Vis_G148639.png,Rhopophilus,rhopophilus pekinensis,M,paradoxornithidae,0.0,0.0,66.0,33.5,0.0,0.0,0.0,0.0,0.0,0.5
Ptilinopus_perousii_6_F_Back_Vis_G213259.png,Ptilinopus,ptilinopus perousii,F,columbidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batis_crypta_2_M_Back_Vis_G174761.png,Batis,batis crypta,M,platysteiridae,89.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psittacula_eques_1_M_Back_Vis_Y051838.png,Psittacula,psittacula eques,M,psittacidae,99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanolyca_argentigula_3_M_Back_Vis_G127327.png,Cyanolyca,cyanolyca argentigula,M,corvidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecocerculus_poecilocercus_5_F_Back_Vis_G046665.png,Mecocerculus,mecocerculus poecilocercus,F,tyrannidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saltator_atripennis_4_F_Back_Vis_G060827.png,Saltator,saltator atripennis,F,thraupidae,83.4,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0
Vanellus_leucurus_6_F_Back_Vis_G196446.png,Vanellus,vanellus leucurus,F,charadriidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Piculus_aurulentus_3_M_Back_Vis_G190572.png,Piculus,piculus aurulentus,M,picidae,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selasphorus_platycercus_2_M_Back_Vis_Y084481.png,Selasphorus,selasphorus platycercus,M,trochilidae,27.8,0.0,43.5,16.2,0.0,0.0,12.5,0.0,0.0,0.0
Cistothorus_platensis_5_F_Back_Vis_G072390.png,Cistothorus,cistothorus platensis,F,troglodytidae,0.0,5.6,0.0,46.3,0.0,0.0,37.1,0.0,11.0,0.0
Xenospiza_baileyi_1_M_Back_Vis_G246900.png,Xenospiza,xenospiza baileyi,M,passerellidae,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calidris_subminuta_1_M_Back_Vis_Y084703.png,Calidris,calidris subminuta,M,scolopacidae,0.0,0.0,16.3,83.7,0.0,0.0,0.0,0.0,0.0,0.0
Ploceus_sakalava_3_M_Back_Vis_G161976.png,Ploceus,ploceus sakalava,M,ploceidae,23.2,66.9,0.3,0.0,0.0,0.0,9.6,0.0,0.0,0.0
Apaloderma_narina_2_M_Back_Vis_Y072542.png,Apaloderma,apaloderma narina,M,trogonidae,68.8,17.8,4.3,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Melanerpes_uropygialis_2_M_Back_Vis_G188638.png,Melanerpes,melanerpes uropygialis,M,picidae,1.4,0.0,76.5,0.0,0.0,0.0,22.1,0.0,0.0,0.0
