val_family,min_dist_to_train,dist_to_train_global,label_entropy,n_val
eurypygidae,0.1737383008003235,0.20683860778808594,0.10445177565241023,6.0
phoenicopteridae,0.1601731777191162,0.23778223991394043,0.2178923717790347,24.0
pityriasidae,0.14883017539978027,0.20269018411636353,0.15139548385216103,6.0
upupidae,0.1473853588104248,0.1816311478614807,0.26872502821867966,6.0
chionidae,0.14406931400299072,0.2757638096809387,0.0,6.0
coliidae,0.13188350200653076,0.1810765266418457,0.5135684916766509,36.0
pelecanidae,0.11598455905914307,0.1685863733291626,0.5481199807785241,41.0
pluvianidae,0.11445701122283936,0.16368305683135986,0.0701538040281851,6.0
anseranatidae,0.11196696758270264,0.1623956561088562,0.29789552722260526,2.0
phaethontidae,0.1064348816871643,0.21191686391830444,0.021016944912793344,16.0
ifritidae,0.10434651374816895,0.11324852705001831,0.0,6.0
picathartidae,0.10055631399154663,0.11400097608566284,0.05682083281617824,9.0
promeropidae,0.09849858283996582,0.12727653980255127,0.30069808858322594,11.0
callaeidae,0.09640300273895264,0.10828381776809692,0.008869563399120262,3.0
gaviidae,0.09328913688659668,0.12082016468048096,0.10251194034822506,21.0
irenidae,0.0908055305480957,0.14975965023040771,0.0,12.0
balaenicipitidae,0.08999037742614746,0.0994272232055664,0.27752525407399425,2.0
apterygidae,0.08951711654663086,0.1454371213912964,0.23819098598509203,8.0
opisthocomidae,0.08539807796478271,0.08649909496307373,0.14402294444481664,5.0
dromadidae,0.08440542221069336,0.1877741813659668,0.2681729619537867,6.0
cariamidae,0.08405804634094238,0.08389711380004883,0.30309032850224166,5.0
chaetopidae,0.08018147945404053,0.09239453077316284,0.27643459094367495,9.0
sapayoidae,0.07797729969024658,0.11153298616409302,0.03562690342106511,1.0
sagittariidae,0.07794821262359619,0.08342128992080688,0.5158769720855539,6.0
numididae,0.07723212242126465,0.08636558055877686,0.44405182056204534,11.0
anhingidae,0.07713872194290161,0.12006092071533203,0.3723210514720338,22.0
melampittidae,0.07627522945404053,0.10758459568023682,0.060867344104051424,6.0
hypocoliidae,0.07589775323867798,0.11138755083084106,0.16499401989203172,6.0
eupetidae,0.07484889030456543,0.11168843507766724,0.0,6.0
anhimidae,0.07357370853424072,0.09920644760131836,0.450068469051779,6.0
aramidae,0.07331430912017822,0.09268558025360107,0.46346712271710633,3.0
psophiidae,0.07328230142593384,0.07975989580154419,0.0,12.0
bombycillidae,0.07085800170898438,0.08889943361282349,0.18306619732599066,18.0
neosittidae,0.06925028562545776,0.10504084825515747,0.143149419062765,8.0
pluvianellidae,0.06724965572357178,0.10099118947982788,0.292108256947341,2.0
panuridae,0.0658336877822876,0.11452054977416992,0.0,6.0
zeledoniidae,0.06520593166351318,0.10684001445770264,0.0,6.0
ibidorhynchidae,0.06503534317016602,0.10900366306304932,0.0,6.0
jacanidae,0.0631709098815918,0.05782961845397949,0.1439369231857393,46.0
phaenicophilidae,0.0631105899810791,0.1127731204032898,0.3048478586049238,13.0
paramythiidae,0.06300473213195801,0.0994383692741394,0.09528266243912405,11.0
nicatoridae,0.06232184171676636,0.07895827293395996,0.34197654530499527,18.0
pardalotidae,0.061867594718933105,0.08926475048065186,0.5638953871619563,19.0
rhynochetidae,0.06178867816925049,0.06732159852981567,0.011325458964684213,3.0
phoeniculidae,0.06149935722351074,0.14735007286071777,0.502344402470806,45.0
laridae,0.06134909391403198,0.11072880029678345,0.48711663582503334,458.0
galbulidae,0.061077117919921875,0.08507871627807617,0.2768254248040174,74.0
machaerirhynchidae,0.06041240692138672,0.08273082971572876,0.13289176949429773,12.0
coraciidae,0.06000542640686035,0.08812642097473145,0.5660177057270377,65.0
atrichornithidae,0.059750139713287354,0.08711457252502441,0.270743833235469,4.0
buphagidae,0.0594029426574707,0.07906222343444824,0.27804524290148275,12.0
rhagologidae,0.05861961841583252,0.07476580142974854,0.15497495379175916,3.0
diomedeidae,0.05844777822494507,0.08469212055206299,0.0072652616218541605,54.0
rostratulidae,0.05732029676437378,0.0736229419708252,0.3112803729999893,18.0
recurvirostridae,0.057244300842285156,0.08138996362686157,0.3547945050877348,37.0
scopidae,0.05706292390823364,0.0619586706161499,0.292108256947341,6.0
trochilidae,0.056784749031066895,0.09901416301727295,0.4791025324403675,1382.0
musophagidae,0.05626237392425537,0.10450077056884766,0.48996639619475224,128.0
todidae,0.05623066425323486,0.1684192419052124,0.3583542278037072,22.0
aegithinidae,0.05619478225708008,0.09942388534545898,0.3384557622201387,24.0
donacobiidae,0.055774152278900146,0.0879364013671875,0.2795349771249605,6.0
ramphastidae,0.05575096607208252,0.07727622985839844,0.20084744827889908,160.0
peucedramidae,0.05566483736038208,0.0869894027709961,0.0,6.0
hemiprocnidae,0.05494207143783569,0.07158231735229492,0.12532103475337328,24.0
fregatidae,0.054731011390686035,0.06536209583282471,0.1260205210426114,18.0
podicipedidae,0.05461466312408447,0.06843686103820801,0.06065146329783337,71.0
calyptophilidae,0.05342423915863037,0.07878351211547852,0.1449605560556627,3.0
strigopidae,0.05339163541793823,0.06518477201461792,0.27800323455183623,14.0
notiomystidae,0.05270892381668091,0.05865508317947388,0.0,5.0
platylophidae,0.052347660064697266,0.06429338455200195,0.1343812764209776,6.0
acanthisittidae,0.05233430862426758,0.0981372594833374,0.4439775995087545,8.0
calyptomenidae,0.052021920680999756,0.06831848621368408,0.13345675679411323,25.0
pnoepygidae,0.051970601081848145,0.12815594673156738,0.19869001388571225,14.0
gruidae,0.05162543058395386,0.08289116621017456,0.6327016588574512,50.0
spheniscidae,0.05133789777755737,0.06416261196136475,0.20081724941507637,66.0
sulidae,0.05131733417510986,0.0828624963760376,0.12570061297635288,41.0
hylocitreidae,0.05123716592788696,0.07931792736053467,0.0,3.0
pittidae,0.05089658498764038,0.09031158685684204,0.20892078437826017,154.0
cnemophilidae,0.05075252056121826,0.06804978847503662,0.0685885759674664,14.0
bucerotidae,0.05056661367416382,0.058084726333618164,0.38441157761014305,235.0
urocynchramidae,0.050258636474609375,0.13848960399627686,0.2894394229373459,4.0
eulacestomatidae,0.04993271827697754,0.07704532146453857,0.04257784590807542,3.0
leptosomidae,0.04940420389175415,0.06446194648742676,0.1515777829623566,6.0
regulidae,0.049393653869628906,0.0796051025390625,0.30305267731285296,35.0
thinocoridae,0.04807615280151367,0.12736403942108154,0.10658554978929312,20.0
oceanitidae,0.04799818992614746,0.06801700592041016,0.01191268588182146,39.0
elanidae,0.04746389389038086,0.05881911516189575,0.7112230277798004,30.0
lamproliidae,0.047313690185546875,0.07312369346618652,0.19415444656528194,12.0
glareolidae,0.04700875282287598,0.04593157768249512,0.8310065859924729,96.0
laniidae,0.04634881019592285,0.055404067039489746,0.6822868392861008,175.0
menuridae,0.045865774154663086,0.07332086563110352,0.07522206552807953,6.0
