val_family,min_dist_to_train,dist_to_train_global,label_entropy,n_val
pityriasidae,0.16974639892578125,0.22905051708221436,0.21841751376649787,6.0
phoenicopteridae,0.1363203525543213,0.18394780158996582,0.31435224421314767,24.0
todidae,0.12499892711639404,0.18520963191986084,0.5169958673340022,22.0
dulidae,0.12209457159042358,0.14152562618255615,0.40604708753152813,6.0
eupetidae,0.12168407440185547,0.14152830839157104,0.0,6.0
coliidae,0.121543288230896,0.19961440563201904,0.7409227160987291,36.0
balaenicipitidae,0.12108045816421509,0.15546655654907227,0.40038430777400114,2.0
sapayoidae,0.11353719234466553,0.13691073656082153,0.05139875688780068,1.0
apterygidae,0.11314588785171509,0.14264261722564697,0.3436369542651448,8.0
trogonidae,0.1131104826927185,0.15375512838363647,0.24360842512147435,198.0
anseranatidae,0.11183220148086548,0.1395595669746399,0.42977239982705584,2.0
coraciidae,0.10333120822906494,0.1298828125,0.8165909371077459,65.0
promeropidae,0.10313558578491211,0.13191866874694824,0.43381564120381033,11.0
semnornithidae,0.09713625907897949,0.15894091129302979,0.06031513928741972,11.0
eurypygidae,0.09615355730056763,0.12506794929504395,0.15069205874577882,6.0
orthonychidae,0.08885180950164795,0.09805291891098022,0.0316278238046507,9.0
pelecanidae,0.08841657638549805,0.11361813545227051,0.7907699780813305,41.0
paramythiidae,0.08729714155197144,0.1491537094116211,0.13746382458362136,11.0
cariamidae,0.08722656965255737,0.12303799390792847,0.43726691387159095,5.0
neosittidae,0.0848851203918457,0.1115160584449768,0.20652095698798711,8.0
pluvianidae,0.0839051604270935,0.11753880977630615,0.10121054517095883,6.0
falcunculidae,0.08383536338806152,0.16051971912384033,0.5250699394472281,6.0
upupidae,0.08340829610824585,0.10645937919616699,0.3876882655738359,6.0
numididae,0.0820874571800232,0.1110573410987854,0.6406313594225785,11.0
phaethontidae,0.08129554986953735,0.1766974925994873,0.03032104220032348,16.0
opisthocomidae,0.08088964223861694,0.10509330034255981,0.20778118772476364,5.0
pnoepygidae,0.08018004894256592,0.14182829856872559,0.28664909770707636,14.0
irenidae,0.07976138591766357,0.16662359237670898,0.0,12.0
hylocitreidae,0.07963120937347412,0.08323287963867188,0.0,3.0
phoeniculidae,0.07879209518432617,0.18819624185562134,0.7247297782629617,45.0
picathartidae,0.07847177982330322,0.12280142307281494,0.0819751337230812,9.0
donacobiidae,0.07794159650802612,0.0876309871673584,0.40328372525319034,6.0
melampittidae,0.07762551307678223,0.17802155017852783,0.08781301549099707,6.0
aramidae,0.076698899269104,0.11737680435180664,0.6686417195590458,3.0
platysteiridae,0.0748528242111206,0.09243762493133545,0.7255700615299298,151.0
ramphastidae,0.07481372356414795,0.10373973846435547,0.2897616176071703,160.0
callaeidae,0.07364761829376221,0.16483235359191895,0.012796075130761057,3.0
ibidorhynchidae,0.07320261001586914,0.14748096466064453,0.0,6.0
chionidae,0.07295835018157959,0.1670069694519043,0.0,6.0
pluvianellidae,0.07290637493133545,0.11014962196350098,0.4214231337006479,2.0
rhodinocichlidae,0.07153165340423584,0.09384280443191528,0.5660017268310659,4.0
chaetopidae,0.07092177867889404,0.08743894100189209,0.398810813484609,9.0
musophagidae,0.07042336463928223,0.1037907600402832,0.7068720899924059,128.0
urocynchramidae,0.07001149654388428,0.12366020679473877,0.4175728201094722,4.0
leptosomidae,0.0699777603149414,0.10561978816986084,0.21868051578873546,6.0
fregatidae,0.06975865364074707,0.11108672618865967,0.1818091807584188,18.0
menuridae,0.06931817531585693,0.09540915489196777,0.10852250090278501,6.0
hemiprocnidae,0.06903022527694702,0.10864889621734619,0.18080003535776507,24.0
anhimidae,0.06878244876861572,0.08248627185821533,0.6493115483614895,6.0
hypocoliidae,0.06742095947265625,0.07770836353302002,0.23803605427456911,6.0
nicatoridae,0.06662958860397339,0.08778589963912964,0.49336786601185656,18.0
rhagologidae,0.06533950567245483,0.07807385921478271,0.22358159729736718,3.0
nesospingidae,0.06437331438064575,0.09704804420471191,0.3561079284076036,2.0
calyptophilidae,0.06430721282958984,0.07077187299728394,0.2091338753460112,3.0
calyptomenidae,0.06430208683013916,0.08171069622039795,0.19253740119999163,25.0
megalaimidae,0.06430208683013916,0.13183152675628662,0.35205777192972515,154.0
psophiidae,0.06399279832839966,0.12549042701721191,0.0,12.0
atrichornithidae,0.06370240449905396,0.07772064208984375,0.39060078556007977,4.0
aegithinidae,0.06362855434417725,0.18742352724075317,0.48828844971528823,24.0
hydrobatidae,0.063545823097229,0.07772022485733032,0.004103538315471244,62.0
ifritidae,0.06273937225341797,0.1013752818107605,0.0,6.0
melanopareiidae,0.06267857551574707,0.07939255237579346,0.7901127178547187,8.0
cathartidae,0.06216782331466675,0.08168929815292358,0.9494445680994967,23.0
machaerirhynchidae,0.06197613477706909,0.17478233575820923,0.19172229682438255,12.0
buphagidae,0.06113553047180176,0.0669451355934143,0.4011344930767363,12.0
sagittariidae,0.06091439723968506,0.0966082215309143,0.7442531493366429,6.0
steatornithidae,0.06041908264160156,0.14884090423583984,0.0,6.0
rhynochetidae,0.06040942668914795,0.06407749652862549,0.01633918348414137,3.0
mesitornithidae,0.06034672260284424,0.07502108812332153,0.43014817102114267,9.0
trochilidae,0.06027531623840332,0.06348311901092529,0.691198847629062,1382.0
heliornithidae,0.05936872959136963,0.08781611919403076,0.6212530204741616,17.0
