val_family,min_dist_to_train,dist_to_train_global,label_entropy,n_val
phoenicopteridae,0.1888081431388855,0.24145549535751343,0.2178923717790347,24.0
chionidae,0.1566230058670044,0.25850480794906616,0.0,6.0
pityriasidae,0.15099233388900757,0.18852412700653076,0.15139548385216103,6.0
upupidae,0.13263154029846191,0.14976584911346436,0.26872502821867966,6.0
pluvianidae,0.1251744031906128,0.166456937789917,0.0701538040281851,6.0
apterygidae,0.11873114109039307,0.1935679316520691,0.23819098598509203,8.0
anseranatidae,0.116790771484375,0.13998138904571533,0.29789552722260526,2.0
opisthocomidae,0.11342263221740723,0.11546707153320312,0.14402294444481664,5.0
eurypygidae,0.10085088014602661,0.1414865255355835,0.10445177565241023,6.0
irenidae,0.10045558214187622,0.14676421880722046,0.0,12.0
todidae,0.09783220291137695,0.23888087272644043,0.3583542278037072,22.0
callaeidae,0.09603369235992432,0.11717045307159424,0.008869563399120262,3.0
eupetidae,0.09483259916305542,0.11406445503234863,0.0,6.0
picathartidae,0.09467601776123047,0.13358163833618164,0.05682083281617824,9.0
ifritidae,0.08927160501480103,0.11645269393920898,0.0,6.0
numididae,0.08820134401321411,0.10156643390655518,0.44405182056204534,11.0
sapayoidae,0.08612453937530518,0.11216747760772705,0.03562690342106511,1.0
coraciidae,0.0857996940612793,0.12051093578338623,0.5660177057270377,65.0
anhimidae,0.08411991596221924,0.10558593273162842,0.450068469051779,6.0
donacobiidae,0.08374577760696411,0.09450721740722656,0.2795349771249605,6.0
balaenicipitidae,0.08171868324279785,0.12244784832000732,0.27752525407399425,2.0
phaethontidae,0.08133363723754883,0.1935960054397583,0.021016944912793344,16.0
gaviidae,0.08027315139770508,0.13720500469207764,0.10251194034822506,21.0
cariamidae,0.08019810914993286,0.09958696365356445,0.30309032850224166,5.0
hypocoliidae,0.07892268896102905,0.09780752658843994,0.16499401989203172,6.0
pelecanidae,0.07834941148757935,0.13336682319641113,0.5481199807785241,41.0
machaerirhynchidae,0.07818126678466797,0.1561872959136963,0.13289176949429773,12.0
ibidorhynchidae,0.07810729742050171,0.1315438151359558,0.0,6.0
peucedramidae,0.07767045497894287,0.13555681705474854,0.0,6.0
semnornithidae,0.07692849636077881,0.09353458881378174,0.041807268742155373,11.0
coliidae,0.07671523094177246,0.12248563766479492,0.5135684916766509,36.0
dromadidae,0.07599896192550659,0.19455742835998535,0.2681729619537867,6.0
leptosomidae,0.07588720321655273,0.06999039649963379,0.1515777829623566,6.0
spheniscidae,0.07509946823120117,0.11989808082580566,0.20081724941507637,66.0
sagittariidae,0.07410812377929688,0.10167664289474487,0.5158769720855539,6.0
rhynochetidae,0.07322216033935547,0.0751606822013855,0.011325458964684213,3.0
melampittidae,0.07242631912231445,0.13736218214035034,0.060867344104051424,6.0
brachypteraciidae,0.07231175899505615,0.06941205263137817,0.22810284174660395,27.0
phaenicophilidae,0.0719064474105835,0.11131417751312256,0.3048478586049238,13.0
paramythiidae,0.07102787494659424,0.11781066656112671,0.09528266243912405,11.0
pittidae,0.07078242301940918,0.09256231784820557,0.20892078437826017,154.0
jacanidae,0.06944745779037476,0.05981290340423584,0.1439369231857393,46.0
scopidae,0.06826090812683105,0.10672247409820557,0.292108256947341,6.0
aramidae,0.06826090812683105,0.1141471266746521,0.46346712271710633,3.0
aegithinidae,0.0675811767578125,0.13386106491088867,0.3384557622201387,24.0
psophiidae,0.06676000356674194,0.08683955669403076,0.0,12.0
panuridae,0.0656057596206665,0.10018467903137207,0.0,6.0
calyptophilidae,0.06548857688903809,0.08018887042999268,0.1449605560556627,3.0
rostratulidae,0.06544917821884155,0.08048826456069946,0.3112803729999893,18.0
trogonidae,0.06470990180969238,0.07632207870483398,0.1688564930335985,198.0
pluvianellidae,0.06426572799682617,0.11350685358047485,0.292108256947341,2.0
nesospingidae,0.06373172998428345,0.06806826591491699,0.2468352065507732,2.0
ramphastidae,0.06360006332397461,0.09024810791015625,0.20084744827889908,160.0
alcedinidae,0.06301701068878174,0.06964766979217529,0.487728372690054,436.0
eurylaimidae,0.0616455078125,0.07064002752304077,0.1759409985402537,44.0
falcunculidae,0.060972630977630615,0.10639989376068115,0.3639507481246274,6.0
rhodinocichlidae,0.06013542413711548,0.06526196002960205,0.39232250114501355,4.0
calyptomenidae,0.05936926603317261,0.07539963722229004,0.13345675679411323,25.0
chaetopidae,0.05930042266845703,0.058363497257232666,0.27643459094367495,9.0
urocynchramidae,0.058991432189941406,0.10097938776016235,0.2894394229373459,4.0
buphagidae,0.05889785289764404,0.07411003112792969,0.27804524290148275,12.0
pnoepygidae,0.05877774953842163,0.13377273082733154,0.19869001388571225,14.0
hemiprocnidae,0.05876314640045166,0.08005714416503906,0.12532103475337328,24.0
heliornithidae,0.05838632583618164,0.0628998875617981,0.43061977955601505,17.0
eulacestomatidae,0.05836904048919678,0.10190409421920776,0.04257784590807542,3.0
diomedeidae,0.05827224254608154,0.08706223964691162,0.0072652616218541605,54.0
bombycillidae,0.058181583881378174,0.0792083740234375,0.18306619732599066,18.0
platysteiridae,0.05769854784011841,0.10572236776351929,0.5029268424481768,151.0
hyliotidae,0.05769854784011841,0.11187803745269775,0.39215520718273256,20.0
zeledoniidae,0.05622506141662598,0.09315836429595947,0.0,6.0
dulidae,0.056110262870788574,0.06044578552246094,0.28145039389705606,6.0
teretistridae,0.05587279796600342,0.11564737558364868,0.1774429621234167,8.0
melanopareiidae,0.055387914180755615,0.0638657808303833,0.5476644027055538,8.0
nicatoridae,0.054848432540893555,0.0803714394569397,0.34197654530499527,18.0
hylocitreidae,0.05469810962677002,0.08498811721801758,0.0,3.0
strigopidae,0.05445706844329834,0.07201802730560303,0.27800323455183623,14.0
podicipedidae,0.054141461849212646,0.07757282257080078,0.06065146329783337,71.0
steatornithidae,0.05353289842605591,0.10894775390625,0.0,6.0
laridae,0.05336952209472656,0.10360658168792725,0.48711663582503334,458.0
recurvirostridae,0.05336952209472656,0.09655439853668213,0.3547945050877348,37.0
phoeniculidae,0.053220272064208984,0.12128931283950806,0.502344402470806,45.0
glareolidae,0.05293375253677368,0.05157268047332764,0.8310065859924729,96.0
