val_family,min_dist_to_train,dist_to_train_global,label_entropy,n_val
phoenicopteridae,0.16176722447077432,0.22106184562047324,0.21789237177903473,24.0
pityriasidae,0.15652296940485635,0.20675494273503622,0.15139548385216103,6.0
chionidae,0.1245502233505249,0.23375852902730307,0.0,6.0
eurypygidae,0.12358091274897258,0.1577976942062378,0.10445177565241022,6.0
upupidae,0.12114173173904419,0.1459521253903707,0.26872502821867966,6.0
anseranatidae,0.1135299801826477,0.14731220404307047,0.29789552722260526,2.0
coliidae,0.1100473403930664,0.16772552331288657,0.5135684916766509,36.0
pluvianidae,0.10784552494684856,0.14922626813252768,0.0701538040281851,6.0
apterygidae,0.10713138182957967,0.16054922342300415,0.23819098598509203,8.0
balaenicipitidae,0.09759650627772014,0.12578054269154867,0.27752525407399425,2.0
eupetidae,0.09712185462315877,0.12242706616719563,0.0,6.0
pelecanidae,0.09425018231074016,0.1385237773259481,0.5481199807785241,41.0
opisthocomidae,0.09323678414026897,0.10235315561294556,0.14402294444481664,5.0
todidae,0.09302059809366862,0.19750324885050455,0.3583542278037071,22.0
sapayoidae,0.09254634380340576,0.12020373344421387,0.03562690342106511,1.0
picathartidae,0.09123470385869344,0.12346134583155315,0.056820832816178245,9.0
irenidae,0.09034083286921184,0.1543824871381124,0.0,12.0
phaethontidae,0.08968802293141682,0.1940701206525167,0.02101694491279334,16.0
callaeidae,0.08869477113087972,0.13009554147720337,0.008869563399120262,3.0
ifritidae,0.08545249700546265,0.1103588342666626,0.0,6.0
promeropidae,0.08485331137975057,0.10892021656036377,0.30069808858322594,11.0
cariamidae,0.08382757504781087,0.10217402378718059,0.30309032850224166,5.0
coraciidae,0.08304544289906819,0.11284005641937256,0.5660177057270377,65.0
numididae,0.08250697453816731,0.09966311852137248,0.44405182056204534,11.0
gaviidae,0.0774614413579305,0.13590067625045776,0.10251194034822504,21.0
anhimidae,0.0754920244216919,0.09575955073038737,0.45006846905177894,6.0
melampittidae,0.07544235388437907,0.14098944266637167,0.060867344104051424,6.0
trogonidae,0.07425238688786824,0.09302506844202678,0.1688564930335985,198.0
dulidae,0.07408688465754192,0.08599289258321126,0.28145039389705606,6.0
hypocoliidae,0.0740804672241211,0.09563448031743367,0.16499401989203172,6.0
paramythiidae,0.07377658287684123,0.12213424841562907,0.09528266243912405,11.0
aramidae,0.07275803883870442,0.10806983709335327,0.46346712271710633,3.0
donacobiidae,0.07248717546463013,0.09002486864725749,0.2795349771249605,6.0
ibidorhynchidae,0.07211508353551228,0.1293428142865499,0.0,6.0
semnornithidae,0.07157611846923828,0.10650114218393962,0.041807268742155373,11.0
dromadidae,0.07130986452102661,0.18040066957473755,0.2681729619537867,6.0
sagittariidae,0.07099024454752605,0.09390205144882202,0.5158769720855539,6.0
chaetopidae,0.07013456026713054,0.0793989896774292,0.27643459094367495,9.0
pluvianellidae,0.06814058621724446,0.1082158883412679,0.292108256947341,2.0
psophiidae,0.06801170110702515,0.09736329317092896,0.0,12.0
neosittidae,0.06796254714330037,0.09238288799921672,0.143149419062765,8.0
machaerirhynchidae,0.06685660282770793,0.13790015379587808,0.13289176949429773,12.0
rhynochetidae,0.0651400883992513,0.06885325908660889,0.011325458964684213,3.0
leptosomidae,0.06508972247441609,0.0800240437189738,0.1515777829623566,6.0
ramphastidae,0.06472158432006836,0.09042135874430339,0.20084744827889908,160.0
phoeniculidae,0.06450390815734863,0.15227854251861572,0.502344402470806,45.0
pnoepygidae,0.06364279985427856,0.13458565870920816,0.19869001388571225,14.0
jacanidae,0.06303244829177856,0.0602258046468099,0.1439369231857393,46.0
falcunculidae,0.0628786285718282,0.11361106236775716,0.3639507481246274,6.0
bombycillidae,0.0627624789873759,0.0784225066502889,0.1830661973259907,18.0
aegithinidae,0.06246817111968994,0.14023615916570029,0.3384557622201387,24.0
hylocitreidae,0.0618554949760437,0.08251297473907471,0.0,3.0
peucedramidae,0.06181643406550089,0.10215878486633301,0.0,6.0
panuridae,0.061428606510162354,0.10008986790974934,0.0,6.0
nicatoridae,0.06126662095387777,0.08237187067667644,0.34197654530499527,18.0
calyptophilidae,0.0610733429590861,0.07658141851425171,0.1449605560556627,3.0
hemiprocnidae,0.06091181437174479,0.08676278591156006,0.12532103475337328,24.0
scopidae,0.060835421085357666,0.08709965149561565,0.292108256947341,6.0
buphagidae,0.05981210867563883,0.07337246338526408,0.27804524290148275,12.0
urocynchramidae,0.059753855069478355,0.121043066183726,0.2894394229373459,4.0
orthonychidae,0.058960159619649254,0.06753973166147868,0.021922736897440353,9.0
rhagologidae,0.058912972609202065,0.07468730211257935,0.15497495379175916,3.0
fregatidae,0.05891187985738119,0.09738278388977051,0.1260205210426114,18.0
zeledoniidae,0.058711230754852295,0.10348176956176758,0.0,6.0
calyptomenidae,0.05856442451477051,0.07514293988545735,0.13345675679411323,25.0
musophagidae,0.05796724557876587,0.0994723637898763,0.48996639619475224,128.0
phaenicophilidae,0.057821194330851235,0.09798842668533325,0.3048478586049238,13.0
spheniscidae,0.05741121371587118,0.09726697206497192,0.20081724941507637,66.0
platysteiridae,0.057177881399790444,0.0903576413790385,0.5029268424481768,151.0
pittidae,0.05691933631896973,0.08729998270670573,0.2089207843782602,154.0
nesospingidae,0.056461075941721596,0.07404643297195435,0.2468352065507732,2.0
rostratulidae,0.05568194389343262,0.07420200109481812,0.3112803729999893,18.0
menuridae,0.055460174878438316,0.09350550174713135,0.07522206552807953,6.0
recurvirostridae,0.05471301078796387,0.09280337889989217,0.3547945050877348,37.0
rhodinocichlidae,0.05467673142751058,0.06779553492863973,0.39232250114501355,4.0
eulacestomatidae,0.05466906229654948,0.09202545881271362,0.04257784590807542,3.0
diomedeidae,0.0541720986366272,0.08278735478719075,0.0072652616218541605,54.0
eurylaimidae,0.05415523052215576,0.06532408793767293,0.1759409985402537,44.0
brachypteraciidae,0.05373978614807129,0.0667281945546468,0.22810284174660392,27.0
heliornithidae,0.053412556648254395,0.06455131371815999,0.4306197795560151,17.0
anhingidae,0.053191145261128746,0.10774528980255127,0.3723210514720338,22.0
atrichornithidae,0.05314366022745768,0.07288662592569987,0.270743833235469,4.0
laridae,0.053051928679148354,0.10625829299290974,0.48711663582503334,458.0
melanopareiidae,0.0528255303700765,0.06521308422088623,0.5476644027055538,8.0
thinocoridae,0.05277434984842936,0.10297103722890218,0.10658554978929312,20.0
strigopidae,0.052389442920684814,0.06863472859064738,0.27800323455183623,14.0
platylophidae,0.052307963371276855,0.09644965330759685,0.1343812764209776,6.0
trochilidae,0.05224772294362386,0.08049829800923665,0.4791025324403675,1382.0
steatornithidae,0.0514150063196818,0.12160990635553996,0.0,6.0
lamproliidae,0.051220993200937905,0.08663016557693481,0.19415444656528194,12.0
notiomystidae,0.05084302028020223,0.05854719877243042,0.0,5.0
chloropseidae,0.04981952905654907,0.16556559006373087,0.24532679453867315,44.0
galbulidae,0.04959273338317871,0.07255156834920247,0.2768254248040174,74.0
podicipedidae,0.04946786165237427,0.08030615250269572,0.060651463297833365,71.0
gruidae,0.049347519874572754,0.08160899082819621,0.6327016588574512,50.0
mesitornithidae,0.048320929209391274,0.06614134709040324,0.2981559919663222,9.0
oceanitidae,0.048089186350504555,0.05892610549926758,0.01191268588182146,39.0
elanidae,0.04807062943776449,0.0655481219291687,0.7112230277798005,30.0
sulidae,0.04788565635681152,0.08908375104268391,0.12570061297635288,41.0
cacatuidae,0.04781198501586914,0.06536255280176799,0.554718445960513,61.0
cathartidae,0.047673165798187256,0.062356273333231606,0.6581048254761211,23.0
glareolidae,0.04762278000513712,0.047413388888041176,0.831006585992473,96.0
alcidae,0.04718927542368571,0.08853848775227864,0.07792624854823596,101.0
teretistridae,0.04645419120788574,0.09973831971486409,0.1774429621234167,8.0
acanthisittidae,0.046193460623423256,0.08319572607676189,0.4439775995087545,8.0
hyliotidae,0.045769691467285156,0.07967283328374226,0.39215520718273256,20.0
burhinidae,0.04550109306971232,0.08387202024459839,0.6968464666206929,40.0
alcedinidae,0.04520454009373983,0.051382859547932945,0.4877283726900539,436.0
tytonidae,0.04514968395233154,0.0852811336517334,0.6517506201719074,31.0
pardalotidae,0.04501096407572428,0.07837982972462972,0.5638953871619563,19.0
pteroclidae,0.0450057586034139,0.08809393644332886,0.6250297225899466,96.0
hydrobatidae,0.04472088813781738,0.051201303799947105,0.0028443560136886,62.0
pandionidae,0.04456559816996256,0.08161288499832153,0.4303653563666369,6.0
megalaimidae,0.044445315996805825,0.12825111548105875,0.24402785200730526,154.0
megapodiidae,0.04434126615524292,0.05930415789286295,0.2627420363055341,34.0
ciconiidae,0.04293290774027506,0.06431881586710612,0.6559891825516944,83.0
cnemophilidae,0.04284254709879557,0.06425776084264119,0.0685885759674664,14.0
phalacrocoracidae,0.04222081104914347,0.06483739614486694,0.4800130490445997,123.0
apodidae,0.04197913408279419,0.07110850016276042,0.5382822167770505,375.0
cinclidae,0.04180490970611572,0.055553317070007324,0.1667452346296823,26.0
stercorariidae,0.04154398043950399,0.04789785544077555,0.3946625721595793,46.0
dicruridae,0.04121828079223633,0.10623443126678467,0.40655965843236613,115.0
bucerotidae,0.04111039638519287,0.07068016131718953,0.38441157761014305,235.0
psittacidae,0.040966411431630455,0.12684375047683716,0.47253164793538244,1124.0
scolopacidae,0.04082063833872477,0.07163554430007935,0.656510004546493,461.0
capitonidae,0.04013399283091227,0.08071269591649373,0.06298163954576705,40.0
otididae,0.039744039376576744,0.07278092702229817,0.6556156905280965,98.0
momotidae,0.03968884547551473,0.14994625250498453,0.23307702933811306,54.0
haematopodidae,0.039641102155049644,0.0497859517733256,0.5056208082904288,45.0
laniidae,0.0395089586575826,0.04944568872451782,0.6822868392861009,175.0
meropidae,0.03925307591756185,0.13181994358698526,0.6973460541855797,150.0
psophodidae,0.03925009568532308,0.058671772480010986,0.4269632873463649,11.0
corcoracidae,0.039241512616475425,0.0687700907389323,0.5794239302897328,12.0
charadriidae,0.03922931353251139,0.05007378260294596,0.7376952989514775,350.0
dasyornithidae,0.03896139065424601,0.06895341475804646,0.47204445410660784,4.0
strigidae,0.038629372914632164,0.07613849639892578,0.5169182971810563,576.0
nyctibiidae,0.0383752187093099,0.1094818909962972,0.22248258302468638,15.0
philepittidae,0.03819245100021362,0.08818624416987102,0.017898210958253107,20.0
ptiliogonidae,0.03776868184407552,0.0511661966641744,0.4245389310961282,24.0
procellariidae,0.037503222624460854,0.054009318351745605,0.06557978465460099,281.0
turnicidae,0.03719786802927653,0.0917154351870219,0.6521489734988906,74.0
bucconidae,0.03633725643157959,0.026967406272888184,0.2905253779544543,124.0
caprimulgidae,0.03531565268834432,0.08082922299702962,0.7116804018879469,339.0
cracidae,0.03518394629160563,0.056919594605763756,0.28190944062103357,78.0
anatidae,0.0350223978360494,0.056796491146087646,0.5545344492502973,297.0
picidae,0.03495699167251587,0.03866523504257202,0.47604501260411497,1176.0
falconidae,0.03403095404307047,0.02738712231318156,0.7473957070274365,308.0
oriolidae,0.03316315015157064,0.05135150750478109,0.34007265455007524,163.0
accipitridae,0.033147295316060386,0.030966262022654217,0.6821546537951381,898.0
mitrospingidae,0.03265543778737386,0.050112247467041016,0.0384985598226612,16.0
icteridae,0.03262106577555338,0.04633063077926636,0.6357775028801258,485.0
rallidae,0.03258192539215088,0.03649242719014486,0.6642700722377342,483.0
lybiidae,0.03252037366231283,0.038730084896087646,0.5338198355258666,245.0
cinclosomatidae,0.03209833304087321,0.035621066888173424,0.4432764557024715,40.0
cuculidae,0.031793455282847084,0.05854902664820353,0.5007651997320275,676.0
ardeidae,0.03126323223114014,0.037797788778940834,0.6292422700171639,298.0
hirundinidae,0.03125115235646566,0.04294190804163615,0.7714318153081724,399.0
modulatricidae,0.031229098637898762,0.06209462881088257,0.0,13.0
columbidae,0.030946731567382812,0.02600395679473877,0.4652203013325646,1250.0
spindalidae,0.030832191308339436,0.06529941161473592,0.3779364595531581,23.0
regulidae,0.030651450157165527,0.05975431203842163,0.30305267731285296,35.0
paradisaeidae,0.0304868221282959,0.03450636068979899,0.09238550922458795,194.0
threskiornithidae,0.030471285184224445,0.03997155030568441,0.6568495956009427,129.0
tinamidae,0.03014924128850301,0.07312506437301636,0.5887224255087025,59.0
viduidae,0.029586851596832275,0.029782553513844807,0.5857411072221705,74.0
aegothelidae,0.029344638188680012,0.06321857372919719,0.08480752969334472,20.0
sittidae,0.029266734917958576,0.04402170578638712,0.29493484864753633,126.0
podargidae,0.028900086879730225,0.07583995660146077,0.19898348898354598,54.0
formicariidae,0.028579970200856526,0.05361072222391764,0.02100550354742578,34.0
pomatostomidae,0.02833704153696696,0.03916168212890625,0.5725425461020337,23.0
maluridae,0.02805181344350179,0.029994030793507893,0.6682015725856059,86.0
certhiidae,0.02756532033284505,0.057189106941223145,0.23767879790521176,37.0
indicatoridae,0.027180651823679607,0.034163872400919594,0.45032587521194206,90.0
stenostiridae,0.02716342608133952,0.03836903969446818,0.4256080881029663,51.0
polioptilidae,0.026052852471669514,0.04828578233718872,0.4790488972872758,59.0
mimidae,0.025705695152282715,0.027405381202697754,0.5324480938787894,170.0
alaudidae,0.025670965512593586,0.053704301516215004,0.7224011885354916,472.0
prunellidae,0.02561024824778239,0.04198795557022095,0.6837872045057575,69.0
oreoicidae,0.0253104567527771,0.03492196400960287,0.508178769250761,11.0
motacillidae,0.025114436944325764,0.03553144137064616,0.7183671237269845,312.0
campephagidae,0.024664183457692463,0.02801390488942464,0.37832152227629035,359.0
phasianidae,0.024542570114135742,0.03891831636428833,0.6311290711586216,337.0
odontophoridae,0.024542570114135742,0.05852601925532023,0.5197918496562761,53.0
rhinocryptidae,0.024068911870320637,0.03456010421117147,0.4374431141828577,100.0
paridae,0.02385948101679484,0.02692898114522298,0.590004101676335,293.0
calcariidae,0.0235711932182312,0.05340470870335897,0.11820433739702856,29.0
grallariidae,0.023380736509958904,0.06956956783930461,0.3076011696001633,87.0
conopophagidae,0.022984524567921955,0.06644282738367717,0.06754420989233573,33.0
malaconotidae,0.022953530152638752,0.0256463885307312,0.5830389390812823,186.0
estrildidae,0.02290177345275879,0.025442580382029217,0.6756256897016527,639.0
dicaeidae,0.022565941015879314,0.04366930325826009,0.2720029971305338,215.0
troglodytidae,0.02250683307647705,0.03303347031275431,0.47729508984895214,273.0
aegithalidae,0.022463401158650715,0.031037668387095135,0.445019469166772,57.0
mohouidae,0.02230916420618693,0.03805136680603027,0.16369696214546092,17.0
climacteridae,0.022142966588338215,0.03386427958806356,0.42547665259240836,34.0
artamidae,0.021963298320770264,0.037518084049224854,0.578379014202592,104.0
melanocharitidae,0.021950324376424152,0.048689822355906166,0.1769732063147119,38.0
pipridae,0.021939655145009358,0.0423431396484375,0.10355314167959738,215.0
corvidae,0.021736900011698406,0.04693909486134847,0.6312956254918843,566.0
sturnidae,0.021736900011698406,0.029128889242808025,0.6163607206167143,550.0
remizidae,0.021690348784128826,0.036163647969563804,0.7332119894619927,58.0
ptilonorhynchidae,0.021073579788208008,0.024695217609405518,0.37642981955368554,76.0
emberizidae,0.020177682240804035,0.0347062349319458,0.7436569621991674,220.0
