val_family,n_val,nearest_train_family,min_dist_to_train,dist_to_train_global,label_entropy,view,fold
upupidae,6,laniidae,0.13263154029846191,0.14976584911346436,0.26872502821867966,Side,1
apterygidae,8,tinamidae,0.11873114109039307,0.1935679316520691,0.23819098598509203,Side,1
anseranatidae,2,recurvirostridae,0.116790771484375,0.13998138904571533,0.29789552722260526,Side,1
opisthocomidae,5,pomatostomidae,0.11342263221740723,0.11546707153320312,0.14402294444481664,Side,1
eurypygidae,6,otididae,0.10085088014602661,0.1414865255355835,0.10445177565241023,Side,1
todidae,22,megalaimidae,0.09783220291137695,0.23888087272644043,0.3583542278037072,Side,1
anhimidae,6,cathartidae,0.08411991596221924,0.10558593273162842,0.450068469051779,Side,1
ibidorhynchidae,6,laridae,0.07810729742050171,0.1315438151359558,-0.0,Side,1
semnornithidae,11,fringillidae,0.07692849636077881,0.09353458881378174,0.041807268742155373,Side,1
coliidae,36,bucerotidae,0.07671523094177246,0.12248563766479492,0.5135684916766509,Side,1
dromadidae,6,laridae,0.07599896192550659,0.19455742835998535,0.2681729619537867,Side,1
rhynochetidae,3,glareolidae,0.07322216033935547,0.0751606822013855,0.011325458964684213,Side,1
phaenicophilidae,13,parulidae,0.0719064474105835,0.11131417751312256,0.3048478586049238,Side,1
scopidae,6,aramidae,0.06826090812683105,0.10672247409820557,0.292108256947341,Side,1
rostratulidae,18,odontophoridae,0.06544917821884155,0.08048826456069946,0.3112803729999893,Side,1
trogonidae,198,malaconotidae,0.06470990180969238,0.07632207870483398,0.1688564930335985,Side,1
pluvianellidae,2,glareolidae,0.06426572799682617,0.11350685358047485,0.292108256947341,Side,1
nesospingidae,2,pycnonotidae,0.06373172998428345,0.06806826591491699,0.2468352065507732,Side,1
ramphastidae,160,eurylaimidae,0.06360006332397461,0.09024810791015625,0.20084744827889908,Side,1
calyptomenidae,25,nectariniidae,0.05936926603317261,0.07539963722229004,0.13345675679411323,Side,1
urocynchramidae,4,certhiidae,0.058991432189941406,0.10097938776016235,0.2894394229373459,Side,1
heliornithidae,17,anatidae,0.05838632583618164,0.0628998875617981,0.43061977955601505,Side,1
hyliotidae,20,platysteiridae,0.05769854784011841,0.11187803745269775,0.39215520718273256,Side,1
