family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
acanthisittidae,8,0.0864550918340683,0.017357533797621727,0.09942907094955444,2,2,0.5,Back
acanthizidae,224,0.09132707864046097,0.029720323160290718,0.021680474281311035,56,15,0.5580357142857143,Back
accipitridae,898,0.10861501097679138,0.0395856574177742,0.03400212526321411,221,59,0.49888641425389757,Back
acrocephalidae,207,0.07453472167253494,0.02310262806713581,0.024524390697479248,40,4,0.5169082125603864,Back
aegithalidae,57,0.10503175109624863,0.03416367247700691,0.03071385622024536,10,4,0.5263157894736842,Back
aegithinidae,24,0.11021537333726883,0.030251510441303253,0.09333336353302002,4,1,0.5,Back
aegothelidae,20,0.08505178242921829,0.017657827585935593,0.06276655197143555,5,1,0.4,Back
alaudidae,472,0.08342793583869934,0.025118375197052956,0.06297957897186279,85,19,0.5084745762711864,Back
alcedinidae,436,0.17570166289806366,0.04210200160741806,0.04944223165512085,84,17,0.49770642201834864,Back
alcidae,101,0.09729280322790146,0.026724519208073616,0.07384437322616577,21,10,0.48514851485148514,Back
anatidae,297,0.14728695154190063,0.057688817381858826,0.05143272876739502,152,47,0.4781144781144781,Back
anhimidae,6,0.08001431077718735,0.02412833273410797,0.10378086566925049,3,2,0.5,Back
anhingidae,22,0.12427634745836258,0.04707622900605202,0.12264680862426758,4,1,0.45454545454545453,Back
anseranatidae,2,0.08732616901397705,0.0,0.16970610618591309,1,1,0.0,Back
apodidae,375,0.11525941640138626,0.029539568349719048,0.05183744430541992,82,17,0.5146666666666667,Back
apterygidae,8,0.09483546018600464,0.015332709066569805,0.14936602115631104,4,1,0.5,Back
aramidae,3,0.05011594295501709,0.006354022305458784,0.09549975395202637,1,1,0.6666666666666666,Back
ardeidae,298,0.16137735545635223,0.04152854159474373,0.030524134635925293,62,20,0.5201342281879194,Back
artamidae,104,0.13794809579849243,0.04590604454278946,0.04023873805999756,22,5,0.49038461538461536,Back
atrichornithidae,4,0.05792471766471863,0.015435964800417423,0.08724915981292725,2,1,0.5,Back
balaenicipitidae,2,0.02553531527519226,2.9802322387695312e-08,0.10161685943603516,1,1,0.5,Back
bernieridae,40,0.08632244914770126,0.01799725741147995,0.034142494201660156,9,5,0.475,Back
bombycillidae,18,0.07423429191112518,0.02019740268588066,0.08760029077529907,3,1,0.5,Back
brachypteraciidae,27,0.11898869276046753,0.04350809007883072,0.07084167003631592,5,3,0.48148148148148145,Back
