family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
acanthisittidae,8,0.08268949389457703,0.023621445521712303,0.06938815116882324,2,2,0.5,Belly
acanthizidae,224,0.10807813704013824,0.040749721229076385,0.034639596939086914,56,15,0.5580357142857143,Belly
accipitridae,898,0.14946670830249786,0.0325579009950161,0.031005144119262695,221,59,0.49888641425389757,Belly
acrocephalidae,207,0.08983087539672852,0.03294806182384491,0.031122803688049316,40,4,0.5169082125603864,Belly
aegithalidae,57,0.1215822845697403,0.03242498263716698,0.03265082836151123,10,4,0.5263157894736842,Belly
aegithinidae,24,0.08999433368444443,0.021350016817450523,0.17448729276657104,4,1,0.5,Belly
aegothelidae,20,0.11058618128299713,0.01596524380147457,0.06445246934890747,5,1,0.4,Belly
alaudidae,472,0.09255672991275787,0.036307405680418015,0.03980541229248047,85,19,0.5084745762711864,Belly
alcedinidae,436,0.16341641545295715,0.04750225320458412,0.03191959857940674,84,17,0.49770642201834864,Belly
alcidae,101,0.11673730611801147,0.0428333654999733,0.10280287265777588,21,10,0.48514851485148514,Belly
anatidae,297,0.1467234045267105,0.04208514839410782,0.07857173681259155,152,47,0.4781144781144781,Belly
anhimidae,6,0.11079404503107071,0.01829157955944538,0.08686542510986328,3,2,0.5,Belly
anhingidae,22,0.14736755192279816,0.061088308691978455,0.10921669006347656,4,1,0.45454545454545453,Belly
anseranatidae,2,0.06622010469436646,5.960464477539063e-08,0.14752471446990967,1,1,0.0,Belly
apodidae,375,0.13756126165390015,0.03461932763457298,0.09335994720458984,82,17,0.5146666666666667,Belly
apterygidae,8,0.0785844624042511,0.013683273456990719,0.1454101800918579,4,1,0.5,Belly
aramidae,3,0.07955727726221085,0.009405309334397316,0.1238253116607666,1,1,0.6666666666666666,Belly
ardeidae,298,0.16595877707004547,0.043972548097372055,0.046400368213653564,62,20,0.5201342281879194,Belly
artamidae,104,0.14878222346305847,0.03649820759892464,0.03464400768280029,22,5,0.49038461538461536,Belly
atrichornithidae,4,0.06813356280326843,0.009363053366541862,0.07808828353881836,2,1,0.5,Belly
balaenicipitidae,2,0.034675925970077515,2.682209014892578e-07,0.161979079246521,1,1,0.5,Belly
bernieridae,40,0.10589136183261871,0.02584707736968994,0.04065394401550293,9,5,0.475,Belly
bombycillidae,18,0.07952791452407837,0.013922350481152534,0.06339603662490845,3,1,0.5,Belly
brachypteraciidae,27,0.14152902364730835,0.031595222651958466,0.05805474519729614,5,3,0.48148148148148145,Belly
bucconidae,124,0.15973640978336334,0.04815705120563507,0.024136006832122803,31,10,0.47580645161290325,Belly
bucerotidae,235,0.14564889669418335,0.029321569949388504,0.08046793937683105,54,11,0.5404255319148936,Belly
buphagidae,12,0.06998344510793686,0.018593333661556244,0.06673997640609741,2,1,0.5,Belly
burhinidae,40,0.0857926681637764,0.020553281530737877,0.07418584823608398,7,2,0.5,Belly
cacatuidae,61,0.16896818578243256,0.03427525982260704,0.0677558183670044,17,5,0.47540983606557374,Belly
calcariidae,29,0.10275369137525558,0.023888295516371727,0.029641151428222656,6,2,0.4482758620689655,Belly
callaeidae,3,0.06864047050476074,0.0014631767990067601,0.1656603217124939,1,1,1.0,Belly
calyptomenidae,25,0.17181505262851715,0.03522854670882225,0.07676440477371216,6,2,0.56,Belly
calyptophilidae,3,0.06420912593603134,0.014625522308051586,0.0719221830368042,1,1,0.6666666666666666,Belly
campephagidae,359,0.18207888305187225,0.06256725639104843,0.028668582439422607,72,5,0.5013927576601671,Belly
capitonidae,40,0.1500987559556961,0.031686268746852875,0.0958094596862793,9,2,0.5,Belly
caprimulgidae,339,0.12320586293935776,0.040925927460193634,0.0896722674369812,73,15,0.5073746312684366,Belly
cardinalidae,238,0.16183987259864807,0.04465740919113159,0.04450511932373047,47,14,0.5252100840336135,Belly
cariamidae,5,0.09206432104110718,0.015113812871277332,0.13105309009552002,2,2,0.4,Belly
cathartidae,23,0.1189887747168541,0.04144889861345291,0.08769410848617554,6,4,0.5217391304347826,Belly
certhiidae,37,0.1100369244813919,0.02474876493215561,0.031362056732177734,7,1,0.4864864864864865,Belly
chaetopidae,9,0.11034045368432999,0.022963399067521095,0.09081995487213135,2,1,0.3333333333333333,Belly
charadriidae,350,0.11671444773674011,0.03415154665708542,0.06238389015197754,63,10,0.5028571428571429,Belly
chionidae,6,0.05034322664141655,0.008148374035954475,0.1700197458267212,1,1,0.5,Belly
chloropseidae,44,0.10600821673870087,0.03129744157195091,0.16358423233032227,8,1,0.5,Belly
ciconiidae,83,0.16506396234035492,0.03615116328001022,0.07168722152709961,19,6,0.42168674698795183,Belly
cinclidae,26,0.10622501373291016,0.017430545762181282,0.07864737510681152,5,1,0.5,Belly
cinclosomatidae,40,0.1543845385313034,0.03372746706008911,0.04437375068664551,8,2,0.45,Belly
cisticolidae,767,0.11782867461442947,0.04475220665335655,0.0279538631439209,144,22,0.5241199478487614,Belly
climacteridae,34,0.10385410487651825,0.017386505380272865,0.04612696170806885,6,2,0.5,Belly
cnemophilidae,14,0.1322447806596756,0.03585073724389076,0.06502664089202881,3,2,0.5714285714285714,Belly
coliidae,36,0.09471065551042557,0.023064060136675835,0.20270419120788574,6,2,0.5,Belly
columbidae,1250,0.16153959929943085,0.046721819788217545,0.021447598934173584,274,43,0.512,Belly
conopophagidae,33,0.1143939346075058,0.0454571507871151,0.06374716758728027,10,2,0.5757575757575758,Belly
coraciidae,65,0.1449105143547058,0.029301417991518974,0.12497252225875854,12,2,0.5076923076923077,Belly
corcoracidae,12,0.09464511275291443,0.014743547886610031,0.10691177845001221,2,2,0.5,Belly
corvidae,566,0.16123758256435394,0.04204791411757469,0.05527365207672119,114,22,0.49646643109540634,Belly
cotingidae,251,0.18610960245132446,0.053858742117881775,0.015753209590911865,58,23,0.49800796812749004,Belly
cracidae,78,0.13965032994747162,0.032359737902879715,0.056028664112091064,43,11,0.3974358974358974,Belly
cuculidae,676,0.1641974300146103,0.03576724976301193,0.07258903980255127,132,26,0.4985207100591716,Belly
dasyornithidae,4,0.06347061693668365,0.003388000885024667,0.06364136934280396,3,1,0.25,Belly
dicaeidae,215,0.13651686906814575,0.03621378168463707,0.03916323184967041,42,2,0.5395348837209303,Belly
dicruridae,115,0.12886756658554077,0.04536401480436325,0.14152252674102783,22,1,0.48695652173913045,Belly
diomedeidae,54,0.10176524519920349,0.03054392896592617,0.08398938179016113,16,4,0.5,Belly
donacobiidae,6,0.09016072750091553,0.02149386890232563,0.09055554866790771,1,1,0.5,Belly
