family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
acanthisittidae,8,0.08514495939016342,0.018914170563220978,0.07950109243392944,2,2,0.5,Side
acanthizidae,224,0.09540066868066788,0.03529118001461029,0.025760650634765625,56,15,0.5580357142857143,Side
accipitridae,898,0.11195151507854462,0.03262601047754288,0.02944844961166382,221,59,0.49888641425389757,Side
acrocephalidae,207,0.07803298532962799,0.026814399287104607,0.028142690658569336,40,4,0.5169082125603864,Side
aegithalidae,57,0.10605935007333755,0.022931313142180443,0.033510446548461914,10,4,0.5263157894736842,Side
aegithinidae,24,0.105157770216465,0.016903219744563103,0.12594562768936157,4,1,0.5,Side
aegothelidae,20,0.08597095310688019,0.026538534089922905,0.06356573104858398,5,1,0.4,Side
alaudidae,472,0.08242875337600708,0.023838071152567863,0.05759763717651367,85,19,0.5084745762711864,Side
alcedinidae,436,0.17105746269226074,0.03860386461019516,0.0689781904220581,84,17,0.49770642201834864,Side
alcidae,101,0.12854069471359253,0.030502386391162872,0.10945791006088257,21,10,0.48514851485148514,Side
anatidae,297,0.15198630094528198,0.045727603137493134,0.056432247161865234,152,47,0.4781144781144781,Side
anhimidae,6,0.08714187145233154,0.023392051458358765,0.11064088344573975,3,2,0.5,Side
anhingidae,22,0.12055408209562302,0.050782863050699234,0.10429024696350098,4,1,0.45454545454545453,Side
anseranatidae,2,0.07516944408416748,2.384185791015625e-07,0.14843308925628662,1,1,0.0,Side
apodidae,375,0.10320162773132324,0.03250570967793465,0.07412338256835938,82,17,0.5146666666666667,Side
apterygidae,8,0.10609401762485504,0.020125463604927063,0.19922101497650146,4,1,0.5,Side
aramidae,3,0.04822848364710808,0.009231590665876865,0.12229979038238525,1,1,0.6666666666666666,Side
ardeidae,298,0.1565954089164734,0.037492718547582626,0.05535626411437988,62,20,0.5201342281879194,Side
artamidae,104,0.13155898451805115,0.027688169851899147,0.04617464542388916,22,5,0.49038461538461536,Side
atrichornithidae,4,0.06447882950305939,0.014446002431213856,0.05205202102661133,2,1,0.5,Side
balaenicipitidae,2,0.03172105550765991,1.1920928955078125e-07,0.13334572315216064,1,1,0.5,Side
bernieridae,40,0.08377784490585327,0.024161547422409058,0.030005812644958496,9,5,0.475,Side
bombycillidae,18,0.08127257227897644,0.01643896847963333,0.07625198364257812,3,1,0.5,Side
brachypteraciidae,27,0.11860527098178864,0.03047492727637291,0.06728768348693848,5,3,0.48148148148148145,Side
bucconidae,124,0.13947491347789764,0.03369005396962166,0.03450745344161987,31,10,0.47580645161290325,Side
bucerotidae,235,0.13551941514015198,0.03326130658388138,0.09197652339935303,54,11,0.5404255319148936,Side
buphagidae,12,0.06986487656831741,0.023585312068462372,0.07092857360839844,2,1,0.5,Side
burhinidae,40,0.09565918147563934,0.021969448775053024,0.09849005937576294,7,2,0.5,Side
cacatuidae,61,0.16611935198307037,0.032155971974134445,0.07391595840454102,17,5,0.47540983606557374,Side
