"Species_Name";"Seasonal";"N_obs_ebird";"Mean_prob_ebird";"Sd_prob_ebird";"Mean_lat_ebird";"1";"2";"3";"4";"8";"12";"14";"9_11";"5_13_15";"6_7"
"Abeillia abeillei";"BREEDING-RESIDENT";"6948";"0.378";"0.1742";"14.6083";100;0;0;0;0;0;0;0;0;0
"Abroscopus albogularis";"BREEDING-RESIDENT";"44706";"0.3696";"0.2027";"24.4283";94,4;0;5,6;0;0;0;0;0;0;0
"Abroscopus schisticeps";"BREEDING-RESIDENT";"18245";"0.5706";"0.1875";"27.9048";100;0;0;0;0;0;0;0;0;0
"Abroscopus superciliaris";"BREEDING-RESIDENT";"18425";"0.4931";"0.2531";"15.9521";100;0;0;0;0;0;0;0;0;0
"Aburria aburri";"BREEDING-RESIDENT";"19279";"0.5575";"0.237";"1.1598";92,1;0;0;0;0;0;7,9;0;0;0
"Acanthagenys rufogularis";"BREEDING-RESIDENT";"100000";"0.4675";"0.2685";"-31.8481";0;26,5;52;0;0;0;21,5;0;0;0
"Acanthidops bairdi";"BREEDING-RESIDENT";"2047";"0.6012";"0.1593";"9.722";86,1;0;0;0;0;0;13,9;0;0;0
"Acanthis flammea";"BREEDING-RESIDENT";"100000";"0.6384";"0.2929";"61.17";24,8;0;33,4;0;0;0;41,8;0;0;0
"Acanthis flammea";"NONBREEDING";"100000";"0.5465";"0.2931";"47.2673";51,2;0;18,2;0;0;0;30,5;0;0;0
"Acanthisitta chloris";"BREEDING-RESIDENT";"21559";"0.3241";"0.2716";"-42.5416";87,5;0;2,5;0;0;0;10;0;0;0
"Acanthiza apicalis";"BREEDING-RESIDENT";"33254";"0.5562";"0.2693";"-31.6582";32;14,8;42,4;0;0;0;10,9;0;0;0
"Acanthiza chrysorrhoa";"BREEDING-RESIDENT";"100000";"0.5512";"0.2965";"-34.888";27,2;5,1;21,2;0;0;0;46,5;0;0;0
"Acanthiza cinerea";"BREEDING-RESIDENT";"842";"0.4972";"0.2381";"-4.3552";100;0;0;0;0;0;0;0;0;0
"Acanthiza ewingii";"BREEDING-RESIDENT";"13798";"0.4424";"0.2864";"-42.3565";55,3;0;16,1;0;0;0;18,6;0;10,1;0
"Acanthiza inornata";"BREEDING-RESIDENT";"5746";"0.6304";"0.2197";"-32.6944";48,4;0;32,6;0;0;0;18,9;0;0;0
"Acanthiza iredalei";"BREEDING-RESIDENT";"1847";"0.4357";"0.2692";"-34.0771";9,5;0;90,5;0;0;0;0;0;0;0
"Acanthiza katherina";"BREEDING-RESIDENT";"2559";"0.627";"0.1462";"-16.7768";100;0;0;0;0;0;0;0;0;0
"Acanthiza lineata";"BREEDING-RESIDENT";"100000";"0.4584";"0.2902";"-35.3019";72,8;0,1;6,3;0;0;0;20,8;0;0;0
"Acanthiza murina";"BREEDING-RESIDENT";"277";"0.2944";"0.1448";"-5.2751";100;0;0;0;0;0;0;0;0;0
"Acanthiza nana";"BREEDING-RESIDENT";"100000";"0.5524";"0.2776";"-34.1529";49,5;5,2;13,9;0;0;0;31,4;0;0;0
"Acanthiza pusilla";"BREEDING-RESIDENT";"100000";"0.5799";"0.2926";"-35.6521";61,7;0,1;9,4;0;0;0;28,8;0;0;0
"Acanthiza reguloides";"BREEDING-RESIDENT";"68098";"0.4609";"0.29";"-34.8299";78,6;2,2;0;0;0;0;19,2;0;0;0
"Acanthiza robustirostris";"BREEDING-RESIDENT";"1596";"0.357";"0.2628";"-25.6139";0;90,5;0;0;9,4;0;0;0;0;0,1
"Acanthiza uropygialis";"BREEDING-RESIDENT";"36859";"0.3864";"0.2395";"-32.0229";0;24,4;67,8;0;0;0;7,8;0;0;0
"Acanthoptila nipalensis";"BREEDING-RESIDENT";"912";"0.7407";"0.2051";"27.942";0;0;100;0;0;0;0;0;0;0
"Acanthorhynchus superciliosus";"BREEDING-RESIDENT";"10210";"0.7229";"0.2292";"-33.349";68,4;0;31,6;0;0;0;0;0;0;0
"Acanthorhynchus tenuirostris";"BREEDING-RESIDENT";"100000";"0.5675";"0.2953";"-34.8872";66,7;0,1;7,2;0;0;0;26;0;0;0
"Acanthornis magna";"BREEDING-RESIDENT";"3727";"0.4301";"0.3053";"-42.4308";84,8;0;15,2;0;0;0;0;0;0;0
"Accipiter albogularis";"BREEDING-RESIDENT";"402";"0.3044";"0.2067";"-8.712";85,2;0;0;0;0;0;14,8;0;0;0
"Accipiter badius";"BREEDING-RESIDENT";"100000";"0.5931";"0.2864";"17.4323";18,2;16,6;2,5;0,4;0;0;62,2;0;0;0
"Accipiter badius";"NONBREEDING";"347";"0.4802";"0.2376";"27.392";0;3,2;1,3;6,3;0;0;89,2;0;0;0
"Accipiter bicolor";"BREEDING-RESIDENT";"18608";"0.52009352966466";"0.26420355760963";"-12.9751097699914";81,9;18,1;0;0;0;0;0;0;0;0
"Accipiter brevipes";"BREEDING-RESIDENT";"4957";"0.6052";"0.2795";"41.3387";9,6;0;8,3;3,9;0;0;68,7;0;9,5;0
"Accipiter brevipes";"NONBREEDING";"10";"0.2684";"0.1351";"2.1831";0;0;100;0;0;0;0;0;0;0
"Accipiter butleri";"BREEDING-RESIDENT";"10";"0.3473";"0.2502";"8.0726";100;0;0;0;0;0;0;0;0;0
"Accipiter castanilius";"BREEDING-RESIDENT";"45";"0.3429";"0.292";"1.7943";100;0;0;0;0;0;0;0;0;0
"Accipiter cirrocephalus";"BREEDING-RESIDENT";"47810";"0.6272";"0.2801";"-31.7293";36,7;9,9;13,7;7,8;0;0;28,9;0;3,1;0
"Accipiter collaris";"BREEDING-RESIDENT";"452";"0.443";"0.2024";"2.18";95,6;0;0;0;0;0;4,4;0;0;0
"Accipiter cooperii";"BREEDING-RESIDENT";"100000";"0.6347";"0.2713";"39.254";100;0;0;0;0;0;0;0;0;0
"Accipiter cooperii";"NONBREEDING";"29640";"0.6555";"0.2567";"27.4139";22,6;0;23,9;0;0;0;53,5;0;0;0
"Accipiter erythrauchen";"BREEDING-RESIDENT";"271";"0.5773";"0.1849";"-2.1354";83,6;0;0;0;0;0;16,4;0;0;0
"Accipiter erythropus";"BREEDING-RESIDENT";"653";"0.4278";"0.2344";"5.828";84;10,4;0;0;0;0;5,6;0;0;0
"Accipiter fasciatus";"BREEDING-RESIDENT";"100000";"0.6634";"0.2781";"-29.2233";40,8;15,3;0;8,4;0;0;31,6;0;3,9;0
"Accipiter francesiae";"BREEDING-RESIDENT";"2309";"0.588";"0.2778";"-18.8225";75;17,4;0;0;0;0;7,6;0;0;0
"Accipiter gentilis";"BREEDING-RESIDENT";"191353";"0.494508240267986";"0.29478862312062";"47.7978701154411";53,3;0;0;8,9;0;0;37,8;0;0;0
"Accipiter gentilis";"NONBREEDING";"16986";"0.536146926880961";"0.322147050512187";"41.9619729777464";47,7;0;0;21,9;0;0;30,4;0;0;0
"Accipiter griseiceps";"BREEDING-RESIDENT";"399";"0.4872";"0.15";"0.3177";99,8;0,2;0;0;0;0;0;0;0;0
"Accipiter gularis";"BREEDING-RESIDENT";"3010";"0.6519";"0.2428";"37.0336";32,1;0;0;0;0;0;64,9;0;3,1;0
"Accipiter gularis";"NONBREEDING";"14923";"0.7812";"0.2339";"14.4776";35;0;7,4;0;0;0;57,6;0;0;0
"Accipiter gundlachi";"BREEDING-RESIDENT";"2714";"0.393";"0.2241";"21.9666";100;0;0;0;0;0;0;0;0;0
"Accipiter haplochrous";"BREEDING-RESIDENT";"672";"0.3778";"0.1553";"-21.8482";73,2;3,1;12,2;0;0;0;11,5;0;0;0
"Accipiter henicogrammus";"BREEDING-RESIDENT";"419";"0.5294";"0.1791";"0.8898";100;0;0;0;0;0;0;0;0;0
"Accipiter henstii";"BREEDING-RESIDENT";"1018";"0.6218";"0.26";"-19.5232";94,7;1,8;0;0;0;0;3,6;0;0;0
"Accipiter hiogaster";"BREEDING-RESIDENT";"4087";"0.5041";"0.2601";"-4.1856";100;0;0;0;0;0;0;0;0;0
"Accipiter imitator";"BREEDING-RESIDENT";"3";"0.1687";"0.0469";"-8.1127";100;0;0;0;0;0;0;0;0;0
"Accipiter luteoschistaceus";"BREEDING-RESIDENT";"13827";"0.5417";"0.2443";"-4.0439";91,3;0;0;0;0;0;1,6;0;7,2;0
"Accipiter madagascariensis";"BREEDING-RESIDENT";"1070";"0.6877";"0.2963";"-20.4128";99,1;0;0,9;0;0;0;0;0;0;0
"Accipiter melanochlamys";"BREEDING-RESIDENT";"412";"0.5062";"0.2313";"-4.6544";97,2;0;0;0;0;0;2,8;0;0;0
"Accipiter melanoleucus";"BREEDING-RESIDENT";"16465";"0.6976";"0.2481";"-16.0397";39,3;0;13,6;0;0;0;42,8;0;4,3;0
"Accipiter meyerianus";"BREEDING-RESIDENT";"119";"0.386";"0.2648";"-5.5398";100;0;0;0;0;0;0;0;0;0
"Accipiter minullus";"BREEDING-RESIDENT";"10350";"0.5914";"0.2671";"-12.9201";13,4;60,6;5,7;0;0;0;17,3;0;2,9;0
"Accipiter nanus";"BREEDING-RESIDENT";"203";"0.4534";"0.2352";"-1.259";100;0;0;0;0;0;0;0;0;0
"Accipiter nisus";"BREEDING-RESIDENT";"100000";"0.537";"0.267";"47.8479";11,1;0;17,3;0;0;0;71,6;0;0;0
"Accipiter nisus";"NONBREEDING";"44891";"0.5863";"0.2592";"35.5314";39,6;11,6;48,8;0;0;0;0;0;0;0
"Accipiter novaehollandiae";"BREEDING-RESIDENT";"29505";"0.6167";"0.2706";"-29.6908";100;0;0;0;0;0;0;0;0;0
"Accipiter ovampensis";"BREEDING-RESIDENT";"1992";"0.5178";"0.2722";"-11.7606";8,8;70,4;5,7;3,6;0;0;11,5;0;0;0
"Accipiter poliocephalus";"BREEDING-RESIDENT";"1248";"0.4711";"0.2844";"-4.1489";89,6;0;0;0;0;0;10,4;0;0;0
"Accipiter poliogaster";"BREEDING-RESIDENT";"625";"0.4826";"0.2531";"-9.5952";100;0;0;0;0;0;0;0;0;0
"Accipiter princeps";"BREEDING-RESIDENT";"1";"0.3387";"NaN";"-5.5605";100;0;0;0;0;0;0;0;0;0
"Accipiter rhodogaster";"BREEDING-RESIDENT";"268";"0.5087";"0.1429";"0.3723";74,5;0;0;0;0;0;25,5;0;0;0
"Accipiter rufitorques";"BREEDING-RESIDENT";"2050";"0.451";"0.2195";"-17.6635";74;0;0;0;0;0;26;0;0;0
"Accipiter rufiventris";"BREEDING-RESIDENT";"944";"0.4622";"0.2291";"-11.3589";15,6;0;23,3;35,8;0;0;25,3;0;0;0
"Accipiter soloensis";"BREEDING-RESIDENT";"7084";"0.7092";"0.2523";"28.8136";28,9;0;8,2;0;0;0;58,7;0;4,2;0
"Accipiter soloensis";"NONBREEDING";"7365";"0.6926";"0.2097";"16.0373";100;0;0;0;0;0;0;0;0;0
"Accipiter striatus";"BREEDING-RESIDENT";"100000";"0.5894";"0.2907";"40.8886";50,7;0,5;21,7;0;0;0;27,1;0;0;0
"Accipiter striatus";"NONBREEDING";"96569";"0.5915";"0.2836";"34.5003";26,9;13,6;27,9;0;0;0;31,7;0;0;0
"Accipiter superciliosus";"BREEDING-RESIDENT";"6112";"0.5227";"0.268";"2.4117";100;0;0;0;0;0;0;0;0;0
"Accipiter tachiro";"BREEDING-RESIDENT";"19892";"0.6259";"0.2568";"-13.0244";59,8;0;0;0;0;0;36,6;0;3,6;0
"Accipiter toussenelii";"BREEDING-RESIDENT";"19892";"0.6259";"0.2568";"-13.0244";59,8;0;0;0;0;0;36,6;0;3,6;0
"Accipiter trinotatus";"BREEDING-RESIDENT";"539";"0.5239";"0.1284";"0.3425";100;0;0;0;0;0;0;0;0;0
"Accipiter trivirgatus";"BREEDING-RESIDENT";"67717";"0.4542";"0.2491";"20.2093";55,1;0;0;0;0;0;44,9;0;0;0
"Accipiter virgatus";"BREEDING-RESIDENT";"30221";"0.5554";"0.2697";"22.5988";48,4;0;0;0;0;0;51,6;0;0;0
"Aceros nipalensis";"BREEDING-RESIDENT";"8434";"0.5579";"0.196";"26.9711";100;0;0;0;0;0;0;0;0;0
"Achaetops pycnopygius";"BREEDING-RESIDENT";"1455";"0.559";"0.2544";"-21.0421";0;0;0;86,6;0;0;0;0;6,2;7,2
"Acridotheres albocinctus";"BREEDING-RESIDENT";"1057";"0.566";"0.1888";"23.8369";0;0;0;0;0;0;100;0;0;0
"Acridotheres burmannicus";"BREEDING-RESIDENT";"1558";"0.4421";"0.1876";"21.7885";0;0;0,2;0,3;0;0;99,6;0;0;0
"Acridotheres cristatellus";"BREEDING-RESIDENT";"100000";"0.8034";"0.2056";"25.1304";0;0;0;0,7;0;0;99,3;0;0;0
"Acridotheres fuscus";"BREEDING-RESIDENT";"100000";"0.6399";"0.2794";"16.8036";30,7;0;0;0;0;0;69,3;0;0;0
"Acridotheres ginginianus";"BREEDING-RESIDENT";"71892";"0.5437";"0.2666";"26.2128";0;0;0;0;0;0;96,1;0;3,9;0
"Acridotheres grandis";"BREEDING-RESIDENT";"100000";"0.6424";"0.2451";"16.0217";0;0;0;0,7;0;0;91,1;0;8,2;0
"Acridotheres leucocephalus";"BREEDING-RESIDENT";"6599";"0.4254";"0.2363";"12.5934";0;0;13,9;0,1;0;0;86;0;0;0
"Acridotheres tristis";"BREEDING-RESIDENT";"100000";"0.6313";"0.2831";"17.1741";13,7;0;0;0,6;0;0;85,7;0;0;0
"Acritillas indica";"BREEDING-RESIDENT";"100000";"0.3167";"0.2209";"11.3157";79,9;0;0;0;0;0;19,8;0;0,3;0
"Acrobatornis fonsecai";"BREEDING-RESIDENT";"122";"0.5561";"0.1571";"-15.06";67,3;0;0;0;0;0;32,7;0;0;0
"Acrocephalus aequinoctialis";"BREEDING-RESIDENT";"20";"0.0293";"0.0424";"1.9798";0;0;100;0;0;0;0;0;0;0
"Acrocephalus agricola";"BREEDING-RESIDENT";"2538";"0.6494";"0.2038";"46.1006";0;0;0;0;0;0;0;0;100;0
"Acrocephalus agricola";"NONBREEDING";"9492";"0.6127";"0.253";"20.2664";0;0;0;0;0;0;88,8;0;11,2;0
"Acrocephalus arundinaceus";"BREEDING-RESIDENT";"100000";"0.5869";"0.2435";"44.7979";0;0;0;0;0;0;0;0;100;0
"Acrocephalus arundinaceus";"NONBREEDING";"2509";"0.5928";"0.2537";"-14.3144";0;59,8;6,5;10;0;0;16,6;0;7,1;0
"Acrocephalus australis";"BREEDING-RESIDENT";"100000";"0.7491";"0.2304";"-33.4578";0;0;0;0;0;0;0;0;100;0
"Acrocephalus bistrigiceps";"BREEDING-RESIDENT";"6952";"0.6773";"0.2476";"40.7122";0;0;0;50,2;0;0;0;0;49,8;0
"Acrocephalus bistrigiceps";"NONBREEDING";"19125";"0.6901";"0.2444";"15.5684";0;0;0;0;0;0;0;0;100;0
"Acrocephalus brevipennis";"BREEDING-RESIDENT";"433";"0.6074";"0.1352";"15.0972";0,7;0;33,9;0;0;0;9,4;0;56;0
