"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Dicaeum australe";"Dicaeum australe";"PASSERIFORMES";"Dicaeidae";"Red-keeled Flowerpecker";"Dicaeum australe"
"Rallina eurizonoides";"Rallina eurizonoides";"GRUIFORMES";"Rallidae";"Slaty-legged Crake";"Rallina eurizonoides"
"Myadestes obscurus";"Myadestes obscurus";"PASSERIFORMES";"Turdidae";"Omao";"Myadestes obscurus"
"Panyptila cayennensis";"Panyptila cayennensis";"CAPRIMULGIFORMES";"Apodidae";"Lesser Swallow-tailed Swift";"Panyptila cayennensis"
"Lichenostomus leucotis";"Nesoptilotis leucotis";"PASSERIFORMES";"Meliphagidae";"White-eared Honeyeater";"Nesoptilotis leucotis"
"Myrmotherula minor";"Myrmotherula minor";"PASSERIFORMES";"Thamnophilidae";"Salvadori's Antwren";"Myrmotherula minor"
"Hemignathus flavus";"Chlorodrepanis flava";"PASSERIFORMES";"Fringillidae";"Oahu Amakihi";"Chlorodrepanis flava"
"Pterocles lichtensteinii";"Pterocles lichtensteinii";"PTEROCLIFORMES";"Pteroclidae";"Lichtenstein's Sandgrouse";"Pterocles lichtensteinii"
"Dendrocincla merula";"Dendrocincla merula";"PASSERIFORMES";"Furnariidae";"White-chinned Woodcreeper";"Dendrocincla merula"
"Garrulax elliotii";"Trochalopteron elliotii";"PASSERIFORMES";"Leiothrichidae";"Elliot's Laughingthrush";"Trochalopteron elliotii"
"Euplectes albonotatus";"Euplectes albonotatus";"PASSERIFORMES";"Ploceidae";"White-winged Widowbird";"Euplectes albonotatus"
"Quelea cardinalis";"Quelea cardinalis";"PASSERIFORMES";"Ploceidae";"Cardinal Quelea";"Quelea cardinalis"
"Pionus chalcopterus";"Pionus chalcopterus";"PSITTACIFORMES";"Psittacidae";"Bronze-winged Parrot";"Pionus chalcopterus"
"Drymophila squamata";"Drymophila squamata";"PASSERIFORMES";"Thamnophilidae";"Scaled Antbird";"Drymophila squamata"
"Microeca papuana";"Devioeca papuana";"PASSERIFORMES";"Petroicidae";"Canary Flyrobin";"Devioeca papuana"
"Indicator variegatus";"Indicator variegatus";"PICIFORMES";"Indicatoridae";"Scaly-throated Honeyguide";"Indicator variegatus"
"Ficedula hodgsonii";"Ficedula erithacus";"PASSERIFORMES";"Muscicapidae";"Slaty-backed Flycatcher";"Ficedula erithacus"
"Cyanolanius madagascarinus";"Cyanolanius madagascarinus";"PASSERIFORMES";"Vangidae";"Madagascar Blue Vanga";"Cyanolanius madagascarinus"
"Apus pallidus";"Apus pallidus";"CAPRIMULGIFORMES";"Apodidae";"Pallid Swift";"Apus pallidus"
"Cochlearius cochlearius";"Cochlearius cochlearius";"PELECANIFORMES";"Ardeidae";"Boat-billed Heron";"Cochlearius cochlearius"
"Andropadus gracilirostris";"Stelgidillas gracilirostris";"PASSERIFORMES";"Pycnonotidae";"Slender-billed Greenbul";"Stelgidillas gracilirostris"
"Nectarinia afra";"Cinnyris afer";"PASSERIFORMES";"Nectariniidae";"Greater Double-collared Sunbird";"Cinnyris afer"
"Ptiloris victoriae";"Lophorina victoriae";"PASSERIFORMES";"Paradisaeidae";"Victoria's Riflebird";"Ptiloris victoriae"
"Alcedo azurea";"Ceyx azureus";"CORACIIFORMES";"Alcedinidae";"Azure Kingfisher";"Ceyx azureus"
"Phylloscopus griseolus";"Phylloscopus griseolus";"PASSERIFORMES";"Phylloscopidae";"Sulphur-bellied Warbler";"Phylloscopus griseolus"
"Meliphaga analoga";"Microptilotis analogus";"PASSERIFORMES";"Meliphagidae";"Mimic Honeyeater";"Meliphaga analoga"
"Aptenodytes forsteri";"Aptenodytes forsteri";"SPHENISCIFORMES";"Spheniscidae";"Emperor Penguin";"Aptenodytes forsteri"
"Spelaeornis formosus";"Elachura formosa";"PASSERIFORMES";"Timaliidae";"Spotted Elachura";"Elachura formosa"
"Bostrychia rara";"Bostrychia rara";"PELECANIFORMES";"Threskiornithidae";"Spot-breasted Ibis";"Bostrychia rara"
"Ixobrychus sinensis";"Ixobrychus sinensis";"PELECANIFORMES";"Ardeidae";"Yellow Bittern";"Botaurus sinensis"
"Hylophylax naevius";"Hylophylax naevius";"PASSERIFORMES";"Thamnophilidae";"Spot-backed Antbird";"Hylophylax naevius"
"Nesillas lantzii";"Nesillas lantzii";"PASSERIFORMES";"Acrocephalidae";"Subdesert Brush-warbler";"Nesillas lantzii"
"Dysithamnus striaticeps";"Dysithamnus striaticeps";"PASSERIFORMES";"Thamnophilidae";"Streak-crowned Antvireo";"Dysithamnus striaticeps"
"Cyanerpes lucidus";"Cyanerpes lucidus";"PASSERIFORMES";"Thraupidae";"Shining Honeycreeper";"Cyanerpes lucidus"
"Myzomela nigrita";"Myzomela nigrita";"PASSERIFORMES";"Meliphagidae";"Papuan Black Myzomela";"Myzomela nigrita"
"Cisticola angusticauda";"Cisticola angusticauda";"PASSERIFORMES";"Cisticolidae";"Tabora Cisticola";"Cisticola angusticauda"
"Ploceus ocularis";"Ploceus ocularis";"PASSERIFORMES";"Ploceidae";"Spectacled Weaver";"Ploceus ocularis"
